type,instruction,input,output
team_productivity,Analyze team productivity and provide insights,"{""team"": ""Development Team A"", ""members"": [{""name"": ""Archana R"", ""tasksCompleted"": 8, ""tasksPending"": 2, ""tasksInProgress"": 1}, {""name"": ""Rajesh Kumar"", ""tasksCompleted"": 5, ""tasksPending"": 4, ""tasksInProgress"": 2}, {""name"": ""Priya Sharma"", ""tasksCompleted"": 10, ""tasksPending"": 1, ""tasksInProgress"": 1}], ""period"": ""Last 2 weeks""}","Team completed 23 tasks in the last 2 weeks. Priya Sharma shows highest productivity with 10 completions. Rajesh Kumar has 4 pending tasks requiring attention. Overall team performance is good with 83% task completion rate."
team_productivity,Analyze team productivity and provide insights,"{""team"": ""QA Team"", ""members"": [{""name"": ""Vikram Singh"", ""tasksCompleted"": 3, ""tasksPending"": 8, ""tasksInProgress"": 3}, {""name"": ""Meena Patel"", ""tasksCompleted"": 2, ""tasksPending"": 9, ""tasksInProgress"": 2}], ""period"": ""Last week""}","Warning: QA team has significantly high pending tasks (17 total). Only 5 tasks completed last week. Team may be overloaded or facing blockers. Recommend resource review or priority realignment."
leave_management,Process leave request and provide response,"{""employee"": ""Archana R"", ""leaveType"": ""annual"", ""startDate"": ""2026-02-15"", ""endDate"": ""2026-02-20"", ""availableLeaves"": 12, ""requestedDays"": 6}","Leave request for 6 days is within available balance (12 days). Request can be processed subject to manager approval and team workload considerations."
leave_management,Process leave request and provide response,"{""employee"": ""Rajesh Kumar"", ""leaveType"": ""sick"", ""startDate"": ""2026-02-06"", ""endDate"": ""2026-02-06"", ""availableLeaves"": 5, ""requestedDays"": 1}","Sick leave for 1 day approved. Medical certificate required if absence exceeds 2 consecutive days. Remaining sick leave balance: 4 days."
leave_management,Process leave request and provide response,"{""employee"": ""Priya Sharma"", ""leaveType"": ""annual"", ""startDate"": ""2026-03-01"", ""endDate"": ""2026-03-10"", ""availableLeaves"": 5, ""requestedDays"": 10}","Leave request denied. Requested days (10) exceed available balance (5). Please adjust dates or consider unpaid leave option in consultation with HR."
attendance_alert,Generate attendance violation alert,"{""employee"": ""Vikram Singh"", ""issue"": ""late_arrival"", ""occurrences"": 5, ""period"": ""this month"", ""threshold"": 3}","Attendance alert: Vikram Singh has exceeded the late arrival threshold with 5 occurrences this month (threshold: 3). Manager notification sent for corrective action."
attendance_alert,Generate attendance violation alert,"{""employee"": ""Meena Patel"", ""issue"": ""missing_attendance"", ""occurrences"": 3, ""period"": ""last week"", ""threshold"": 2}","Critical: Meena Patel has 3 days of unmarked attendance last week. Immediate regularization required or it will be marked as leave of absence."
performance_review,Generate performance review reminder,"{""employee"": ""Archana R"", ""reviewType"": ""quarterly"", ""dueDate"": ""2026-02-10"", ""today"": ""2026-02-06"", ""manager"": ""Suresh Menon""}","Quarterly performance review for Archana R is due on Feb 10 (4 days remaining). Manager Suresh Menon should schedule review meeting and complete assessment."
performance_review,Generate performance review reminder,"{""employee"": ""Rajesh Kumar"", ""reviewType"": ""annual"", ""dueDate"": ""2026-02-05"", ""today"": ""2026-02-06"", ""manager"": ""Anita Desai""}","Overdue: Annual performance review for Rajesh Kumar was due yesterday. Manager Anita Desai must complete review immediately to avoid compliance issues."
resource_allocation,Analyze resource allocation and suggest optimization,"{""project"": ""Website Revamp"", ""allocatedResources"": [{""name"": ""Archana R"", ""role"": ""Developer"", ""allocation"": 100}, {""name"": ""Vikram Singh"", ""role"": ""Tester"", ""allocation"": 50}], ""projectLoad"": ""high"", ""timeline"": ""2 weeks""}","Current allocation may be insufficient for high-load project with 2-week timeline. Suggest increasing tester allocation to 100% or adding additional QA resource. Developer allocation is appropriate."
resource_allocation,Analyze resource allocation and suggest optimization,"{""project"": ""Maintenance Tasks"", ""allocatedResources"": [{""name"": ""Rajesh Kumar"", ""role"": ""Developer"", ""allocation"": 80}, {""name"": ""Priya Sharma"", ""role"": ""Developer"", ""allocation"": 70}], ""projectLoad"": ""low"", ""timeline"": ""ongoing""}","Resources appear over-allocated for low-load maintenance project. Consider reducing allocation to 40-50% per resource and reassigning capacity to higher priority projects."
compliance_check,Check compliance and generate report,"{""employee"": ""Meena Patel"", ""checks"": [{""item"": ""Background verification"", ""status"": ""completed""}, {""item"": ""NDA signed"", ""status"": ""completed""}, {""item"": ""Security training"", ""status"": ""pending""}, {""item"": ""Policy acknowledgment"", ""status"": ""completed""}]}","Compliance status: 3/4 items completed. Security training is pending and must be completed within 30 days of joining. Please schedule training session."
compliance_check,Check compliance and generate report,"{""employee"": ""Vikram Singh"", ""checks"": [{""item"": ""Annual compliance training"", ""status"": ""expired""}, {""item"": ""Data privacy certification"", ""status"": ""pending""}, {""item"": ""Code of conduct"", ""status"": ""completed""}]}","Alert: Annual compliance training has expired. Data privacy certification is pending. Both must be completed immediately to maintain active status."
expense_approval,Review expense claim and provide decision guidance,"{""employee"": ""Archana R"", ""expenseType"": ""travel"", ""amount"": 8500, ""limit"": 10000, ""receipts"": true, ""managerApproval"": ""pending""}","Expense claim within policy limits (8500/10000). All receipts attached. Eligible for approval pending manager review."
expense_approval,Review expense claim and provide decision guidance,"{""employee"": ""Rajesh Kumar"", ""expenseType"": ""meal"", ""amount"": 3500, ""limit"": 2000, ""receipts"": true, ""managerApproval"": ""pending""}","Expense claim exceeds policy limit by 1500. Requires additional justification and senior management approval. Please add comments explaining the overage."
expense_approval,Review expense claim and provide decision guidance,"{""employee"": ""Priya Sharma"", ""expenseType"": ""accommodation"", ""amount"": 15000, ""limit"": 20000, ""receipts"": false, ""managerApproval"": ""pending""}","Claim rejected: Missing receipt documentation. Please upload hotel bill and payment proof to resubmit claim."
training_recommendation,Analyze skill gaps and recommend training,"{""employee"": ""Vikram Singh"", ""currentSkills"": [""Java"", ""SQL"", ""REST API""], ""projectRequirements"": [""Java"", ""SQL"", ""Microservices"", ""Docker"", ""Kubernetes""], ""role"": ""Senior Developer""}","Skill gap identified: Microservices architecture, Docker, and Kubernetes. Recommend enrolling in containerization and microservices training programs to meet project requirements."
training_recommendation,Analyze skill gaps and recommend training,"{""employee"": ""Meena Patel"", ""currentSkills"": [""Manual Testing"", ""Selenium"", ""JIRA""], ""projectRequirements"": [""Automation Testing"", ""Selenium"", ""API Testing"", ""Performance Testing""], ""role"": ""QA Engineer""}","Development areas: API testing and performance testing. Suggest training on REST Assured for API testing and JMeter/LoadRunner for performance testing to enhance automation capabilities."
escalation,Identify escalation need and create alert,"{""issue"": ""Multiple pending approvals"", ""manager"": ""Suresh Menon"", ""pendingItems"": [{""type"": ""leave_request"", ""count"": 5, ""oldestPending"": 8}, {""type"": ""timesheet"", ""count"": 3, ""oldestPending"": 12}, {""type"": ""expense_claim"", ""count"": 2, ""oldestPending"": 6}]}","Escalation alert: Manager Suresh Menon has 10 pending approvals. Critical: Timesheet approval pending for 12 days. Recommend immediate action to clear backlog."
escalation,Identify escalation need and create alert,"{""issue"": ""Project delay risk"", ""project"": ""CRM Implementation"", ""delayedTasks"": 4, ""criticalPath"": true, ""stakeholders"": [""Anita Desai"", ""Rajesh Kumar""]}","Critical escalation: CRM Implementation has 4 delayed tasks on critical path. Project timeline at risk. Immediate stakeholder meeting recommended with Anita Desai and Rajesh Kumar."
onboarding_status,Track new employee onboarding progress,"{""employee"": ""Amit Verma"", ""joiningDate"": ""2026-02-01"", ""today"": ""2026-02-06"", ""checklist"": [{""task"": ""System access granted"", ""status"": ""completed""}, {""task"": ""Workstation setup"", ""status"": ""completed""}, {""task"": ""Team introduction"", ""status"": ""completed""}, {""task"": ""Buddy assigned"", ""status"": ""completed""}, {""task"": ""Initial training"", ""status"": ""in-progress""}, {""task"": ""First project assignment"", ""status"": ""pending""}]}","Onboarding Day 6: Amit Verma has completed 4/6 checklist items. Initial training is in progress. First project assignment pending. Overall onboarding on track."
onboarding_status,Track new employee onboarding progress,"{""employee"": ""Sneha Reddy"", ""joiningDate"": ""2026-01-28"", ""today"": ""2026-02-06"", ""checklist"": [{""task"": ""System access granted"", ""status"": ""completed""}, {""task"": ""Workstation setup"", ""status"": ""pending""}, {""task"": ""Team introduction"", ""status"": ""completed""}, {""task"": ""Buddy assigned"", ""status"": ""pending""}, {""task"": ""Initial training"", ""status"": ""not-started""}]}","Alert: Onboarding Day 10 for Sneha Reddy. Critical delays in workstation setup and buddy assignment. Initial training not started. IT and HR intervention required."
exit_process,Manage employee exit process and track clearances,"{""employee"": ""Karthik Nair"", ""lastWorkingDay"": ""2026-02-15"", ""today"": ""2026-02-06"", ""clearances"": [{""department"": ""IT"", ""status"": ""pending""}, {""department"": ""Finance"", ""status"": ""pending""}, {""department"": ""HR"", ""status"": ""pending""}, {""department"": ""Admin"", ""status"": ""pending""}]}","Exit process initiated for Karthik Nair. Last working day: Feb 15 (9 days remaining). All clearances pending. Reminder emails sent to respective departments for asset return and final settlements."
exit_process,Manage employee exit process and track clearances,"{""employee"": ""Divya Krishnan"", ""lastWorkingDay"": ""2026-02-10"", ""today"": ""2026-02-06"", ""clearances"": [{""department"": ""IT"", ""status"": ""completed""}, {""department"": ""Finance"", ""status"": ""completed""}, {""department"": ""HR"", ""status"": ""pending""}, {""department"": ""Admin"", ""status"": ""completed""}]}","Exit process for Divya Krishnan: 4 days to last working day. 3/4 clearances completed. HR clearance pending for final documents and exit interview. Urgent completion required."
shift_management,Manage shift schedules and conflicts,"{""date"": ""2026-02-10"", ""shift"": ""night"", ""requiredStaff"": 5, ""assignedStaff"": [{""name"": ""Archana R"", ""status"": ""confirmed""}, {""name"": ""Vikram Singh"", ""status"": ""on_leave""}, {""name"": ""Meena Patel"", ""status"": ""confirmed""}]}","Shift alert for Feb 10 night shift: Only 2/5 required staff confirmed. Vikram Singh is on leave. Need to assign 3 more staff members urgently to meet operational requirements."
shift_management,Manage shift schedules and conflicts,"{""date"": ""2026-02-08"", ""shift"": ""morning"", ""requiredStaff"": 8, ""assignedStaff"": [{""name"": ""Rajesh Kumar"", ""status"": ""confirmed""}, {""name"": ""Priya Sharma"", ""status"": ""confirmed""}, {""name"": ""Amit Verma"", ""status"": ""confirmed""}, {""name"": ""Sneha Reddy"", ""status"": ""confirmed""}, {""name"": ""Karthik Nair"", ""status"": ""confirmed""}, {""name"": ""Divya Krishnan"", ""status"": ""confirmed""}, {""name"": ""Archana R"", ""status"": ""confirmed""}, {""name"": ""Vikram Singh"", ""status"": ""confirmed""}]}","Morning shift for Feb 08 is fully staffed (8/8). All team members confirmed. No action required."
asset_management,Track company assets and issue alerts,"{""employee"": ""Rajesh Kumar"", ""assets"": [{""item"": ""Laptop - Dell XPS"", ""id"": ""LAP-2045"", ""assignedDate"": ""2024-03-15"", ""status"": ""active""}, {""item"": ""Mobile - iPhone 14"", ""id"": ""MOB-3021"", ""assignedDate"": ""2024-03-15"", ""status"": ""active""}, {""item"": ""Monitor"", ""id"": ""MON-1532"", ""assignedDate"": ""2024-03-15"", ""status"": ""damaged""}]}","Asset alert: Monitor (MON-1532) marked as damaged. Initiate replacement request and damage assessment. Other assets in good condition."
asset_management,Track company assets and issue alerts,"{""employee"": ""Priya Sharma"", ""assets"": [{""item"": ""Laptop - MacBook Pro"", ""id"": ""LAP-2089"", ""assignedDate"": ""2023-06-10"", ""status"": ""due_for_refresh""}]}","Asset refresh notification: Laptop (LAP-2089) is 2.5 years old and due for refresh cycle. Schedule upgrade assessment and order new device if eligible."
policy_violation,Detect and report policy violations,"{""employee"": ""Vikram Singh"", ""violation"": ""consecutive_late_logins"", ""occurrences"": 7, ""period"": ""last 10 days"", ""policy"": ""Punctuality Policy""}","Policy violation: Vikram Singh has 7 late logins in last 10 days, exceeding the acceptable threshold. First written warning to be issued as per Punctuality Policy guidelines."
policy_violation,Detect and report policy violations,"{""employee"": ""Meena Patel"", ""violation"": ""internet_usage"", ""details"": ""Excessive non-work related browsing"", ""flaggedBy"": ""IT Security"", ""policy"": ""Acceptable Use Policy""}","Security alert: Meena Patel flagged for excessive non-work internet usage by IT Security. Manager counseling recommended as per Acceptable Use Policy. Monitor for next 30 days."
certification_tracking,Track professional certifications and renewals,"{""employee"": ""Archana R"", ""certifications"": [{""name"": ""AWS Solutions Architect"", ""expiryDate"": ""2026-03-15"", ""status"": ""expiring_soon""}, {""name"": ""Scrum Master"", ""expiryDate"": ""2027-08-20"", ""status"": ""valid""}], ""today"": ""2026-02-06""}","Certification renewal alert: AWS Solutions Architect certification expires in 37 days. Recommend scheduling renewal exam. Scrum Master certification is valid until Aug 2027."
certification_tracking,Track professional certifications and renewals,"{""employee"": ""Rajesh Kumar"", ""certifications"": [{""name"": ""PMP"", ""expiryDate"": ""2026-01-31"", ""status"": ""expired""}], ""today"": ""2026-02-06""}","Critical: PMP certification expired on Jan 31, 2026. Immediate renewal required to maintain certified status for client projects. Contact employee urgently."
goal_tracking,Monitor employee goals and progress,"{""employee"": ""Priya Sharma"", ""period"": ""Q1 2026"", ""goals"": [{""title"": ""Complete 3 client projects"", ""progress"": 66, ""status"": ""on_track""}, {""title"": ""Mentor 2 junior developers"", ""progress"": 100, ""status"": ""completed""}, {""title"": ""Obtain Azure certification"", ""progress"": 30, ""status"": ""at_risk""}]}","Q1 Goal Status: Priya Sharma has completed mentoring goal ahead of schedule. Client project goal is on track (2/3 completed). Azure certification progress is slow (30%) and requires attention to meet Q1 deadline."
goal_tracking,Monitor employee goals and progress,"{""employee"": ""Vikram Singh"", ""period"": ""Q1 2026"", ""goals"": [{""title"": ""Reduce bug count by 20%"", ""progress"": 85, ""status"": ""on_track""}, {""title"": ""Automate 5 test suites"", ""progress"": 40, ""status"": ""on_track""}, {""title"": ""Improve test coverage to 90%"", ""progress"": 15, ""status"": ""behind""}]}","Q1 Goal Status: Vikram Singh is performing well on bug reduction (85% progress). Test automation is progressing adequately (2/5 completed). Test coverage goal is significantly behind and needs immediate focus."
timesheet_validation,Validate timesheet entries and flag issues,"{""employee"": ""Archana R"", ""week"": ""Jan 27 - Feb 02, 2026"", ""entries"": [{""date"": ""2026-01-27"", ""hours"": 8, ""project"": ""PSS Portal""}, {""date"": ""2026-01-28"", ""hours"": 10, ""project"": ""PSS Portal""}, {""date"": ""2026-01-29"", ""hours"": 8, ""project"": ""PSS Portal""}, {""date"": ""2026-01-30"", ""hours"": 12, ""project"": ""PSS Portal""}, {""date"": ""2026-01-31"", ""hours"": 8, ""project"": ""PSS Portal""}], ""totalHours"": 46, ""expectedHours"": 40}","Timesheet validation: Archana R logged 46 hours (6 hours overtime). Two days show extended hours (10h and 12h). Overtime pre-approval required. Please verify and obtain manager authorization."
timesheet_validation,Validate timesheet entries and flag issues,"{""employee"": ""Rajesh Kumar"", ""week"": ""Jan 27 - Feb 02, 2026"", ""entries"": [{""date"": ""2026-01-27"", ""hours"": 8, ""project"": ""CRM Implementation""}, {""date"": ""2026-01-29"", ""hours"": 8, ""project"": ""CRM Implementation""}, {""date"": ""2026-01-31"", ""hours"": 7, ""project"": ""CRM Implementation""}], ""totalHours"": 23, ""expectedHours"": 40}","Timesheet alert: Rajesh Kumar logged only 23 hours for the week. Missing entries for Jan 28 and Jan 30. Please complete timesheet or submit leave/regularization request."
succession_planning,Identify succession planning needs,"{""position"": ""Senior Developer - Team Lead"", ""currentHolder"": ""Suresh Menon"", ""criticalRole"": true, ""potentialSuccessors"": [{""name"": ""Archana R"", ""readiness"": ""ready_now"", ""experience"": ""4 years""}, {""name"": ""Rajesh Kumar"", ""readiness"": ""ready_in_6_months"", ""experience"": ""3 years""}]}","Succession plan for Senior Developer - Team Lead: Archana R is ready for immediate succession with 4 years experience. Rajesh Kumar can be ready in 6 months with targeted leadership training. Recommend cross-training both candidates."
succession_planning,Identify succession planning needs,"{""position"": ""QA Manager"", ""currentHolder"": ""Anita Desai"", ""criticalRole"": true, ""potentialSuccessors"": []}","Critical gap: No identified successors for QA Manager position. High organizational risk. Recommend immediate talent assessment and development program to build leadership pipeline."
diversity_metrics,Track diversity and inclusion metrics,"{""department"": ""Engineering"", ""totalEmployees"": 45, ""demographics"": {""gender"": {""male"": 32, ""female"": 13}, ""experienceLevel"": {""entry"": 12, ""mid"": 23, ""senior"": 10}}}","Diversity analysis for Engineering: Gender ratio is 71% male, 29% female. Experience distribution: 27% entry-level, 51% mid-level, 22% senior-level. Consider targeted hiring initiatives to improve gender balance."
workload_analysis,Analyze employee workload and flag concerns,"{""employee"": ""Priya Sharma"", ""activeTasks"": 8, ""averageTaskLoad"": 4, ""overtimeHours"": 15, ""period"": ""last 2 weeks""}","Workload alert: Priya Sharma has 8 active tasks (team average: 4) and logged 15 overtime hours in 2 weeks. Risk of burnout. Recommend workload rebalancing and manager discussion."
workload_analysis,Analyze employee workload and flag concerns,"{""employee"": ""Meena Patel"", ""activeTasks"": 2, ""averageTaskLoad"": 5, ""overtimeHours"": 0, ""period"": ""last 2 weeks""}","Workload observation: Meena Patel has 2 active tasks (below team average of 5) with no overtime. Consider assigning additional responsibilities to optimize capacity utilization."
interview_scheduling,Coordinate interview scheduling,"{""candidate"": ""Arun Patel"", ""position"": ""Full Stack Developer"", ""interviewRounds"": [{""round"": ""Technical Round 1"", ""interviewer"": ""Archana R"", ""status"": ""completed""}, {""round"": ""Technical Round 2"", ""interviewer"": ""Suresh Menon"", ""status"": ""scheduled""}, {""round"": ""HR Round"", ""interviewer"": ""HR Team"", ""status"": ""pending""}]}","Interview status for Arun Patel: Technical Round 1 completed successfully. Technical Round 2 scheduled with Suresh Menon. HR Round to be scheduled after technical assessment completion."
benefits_enrollment,Track benefits enrollment status,"{""employee"": ""Amit Verma"", ""enrollmentDeadline"": ""2026-02-15"", ""today"": ""2026-02-06"", ""benefits"": [{""type"": ""Health Insurance"", ""status"": ""enrolled""}, {""type"": ""Retirement Plan"", ""status"": ""pending""}, {""type"": ""Life Insurance"", ""status"": ""pending""}]}","Benefits enrollment reminder: Amit Verma has 9 days until deadline. Health insurance enrolled. Retirement plan and life insurance enrollment pending. Send reminder notification."
project_budget,Monitor project budget and expenses,"{""project"": ""CRM Implementation"", ""totalBudget"": 500000, ""spentToDate"": 425000, ""remainingBudget"": 75000, ""completionPercentage"": 70, ""projectedOverrun"": 50000}","Budget alert: CRM Implementation is 70% complete with 85% budget utilized (425K/500K). Projected overrun of 50K based on current burn rate. Recommend cost control measures or budget revision request."
incident_reporting,Process workplace incident report,"{""reportedBy"": ""Vikram Singh"", ""incidentType"": ""safety"", ""date"": ""2026-02-05"", ""severity"": ""minor"", ""description"": ""Slipped on wet floor near cafeteria"", ""actionTaken"": ""First aid provided""}","Incident logged: Minor safety incident reported by Vikram Singh on Feb 05. First aid administered. Follow-up actions: Install warning signs, review cleaning procedures, monitor for 48 hours. Safety officer notified."
